city,title,rank,point,tag,link,review
Phoenix,PHX Burrito House,66,4.3,['Mexican'],/biz/phx-burrito-house-phoenix,(969 reviews)
Phoenix,Rice Paddy Restaurant,67,4.2,['Vietnamese'],/biz/rice-paddy-restaurant-phoenix,(84 reviews)
Phoenix,Hillstone Restaurant,68,3.9,"['American (New)', 'Sushi Bars']",/biz/hillstone-restaurant-phoenix-2,(1.2k reviews)
Phoenix,Chantico,69,3.9,"['Mexican', 'Cocktail Bars', 'Breakfast & Brunch']",/biz/chantico-phoenix-2,(527 reviews)
Phoenix,Otro Cafe,70,4.1,"['Mexican', 'Breakfast & Brunch']",/biz/otro-cafe-phoenix,(1.1k reviews)
Phoenix,Lom Wong,71,4.4,['Thai'],/biz/lom-wong-phoenix-2,(185 reviews)
Phoenix,The Henry,72,4.1,"['American (New)', 'Breakfast & Brunch', 'Coffee & Tea']",/biz/the-henry-phoenix,(2.1k reviews)
Phoenix,Chilte,73,4.5,"['Coffee & Tea', 'Breakfast & Brunch']",/biz/chilte-phoenix,(48 reviews)
Phoenix,Little Miss BBQ-Sunnyslope,74,4.5,"['Barbeque', 'Sandwiches']",/biz/little-miss-bbq-phoenix-9,(1.1k reviews)
Phoenix,New Hong Kong,75,3.9,"['Chinese', 'Seafood', 'Noodles']",/biz/new-hong-kong-phoenix-3,(85 reviews)
Phoenix,Vecina,76,4.7,"['Latin American', 'American (New)']",/biz/vecina-phoenix,(286 reviews)
Phoenix,The Collins Small Batch Kitchen,77,4.4,"['Bars', 'American (New)']",/biz/the-collins-small-batch-kitchen-phoenix-2,(465 reviews)
Phoenix,Arizona Wilderness DTPHX,78,4.3,"['Beer Gardens', 'Breweries', 'Burgers']",/biz/arizona-wilderness-dtphx-phoenix,(613 reviews)
Phoenix,The Mexicano,79,4.4,"['Tacos', 'Cocktail Bars']",/biz/the-mexicano-phoenix-2,(2k reviews)
Phoenix,Bacanora,80,4.1,['Mexican'],/biz/bacanora-phoenix,(222 reviews)
Phoenix,Beignet Babe,81,4.6,"['Food Stands', 'Desserts']",/biz/beignet-babe-phoenix-5,(63 reviews)
Phoenix,The Boardroom Cafe,82,5.0,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",/biz/the-boardroom-cafe-phoenix,
Phoenix,Lylo Swim Club,83,4.0,"['Cocktail Bars', 'Mexican']",/biz/lylo-swim-club-phoenix,(194 reviews)
Phoenix,Chelsea’s Kitchen,84,4.3,['American (New)'],/biz/chelseas-kitchen-phoenix,(2.1k reviews)
Phoenix,Carcara,85,3.6,"['Lounges', 'American (Traditional)', 'Breakfast & Brunch']",/biz/carcara-phoenix-3,(136 reviews)
