city,title,rank,point,tag,link,review_n
Pittsburgh,Pasha Cafe & Lounge,110.0,4.4,"['Mediterranean', 'Turkish', 'Breakfast & Brunch']",/biz/pasha-cafe-and-lounge-pittsburgh-2,205.0
Pittsburgh,Sushi Kim 2,190.0,4.7,"['Korean', 'Sushi Bars', 'Soup']",/biz/sushi-kim-2-pittsburgh,39.0
Pittsburgh,Spirits & Tales,154.0,3.4,"['Lounges', 'Cocktail Bars', 'Tapas/Small Plates']",/biz/spirits-and-tales-pittsburgh,114.0
Pittsburgh,Eighteen,230.0,4.1,"['Kosher', 'Wine Bars', 'Mediterranean']",/biz/eighteen-pittsburgh-2,9.0
Pleasanton,Alberto’s Cantina,35.0,2.4,"['Sports Bars', 'Mexican']",/biz/albertos-cantina-pleasanton,703.0
Pleasanton,Jim’s Country Style Restaurant,41.0,4.0,"['Breakfast & Brunch', 'Southern']",/biz/jims-country-style-restaurant-pleasanton-3,651.0
Pleasanton,Coco Cabana,22.0,3.5,"['Latin American', 'Argentine', 'Peruvian']",/biz/coco-cabana-dublin-6,987.0
Pleasanton,Burma Burma,9.0,4.3,"['Burmese', 'Caterers']",/biz/burma-burma-dublin,1500.0
Pleasanton,Seoul Jung Korean BBQ,11.0,3.3,"['Korean', 'Barbeque']",/biz/seoul-jung-korean-bbq-dublin,1500.0
Pleasanton,Chili’s,89.0,2.4,"['Tex-Mex', 'American (Traditional)', 'Bars']",/biz/chilis-pleasanton-14,400.0
Pleasanton,Local Poke,87.0,4.4,"['Poke', 'Hawaiian']",/biz/local-poke-pleasanton,434.0
Pleasanton,New York Pizza,75.0,3.5,"['Pizza', 'Italian', 'Chicken Wings']",/biz/new-york-pizza-pleasanton-6,468.0
Pleasanton,Experience Burma Restaurant and Bar,73.0,4.2,"['Burmese', 'Vegetarian', 'Vegan']",/biz/experience-burma-restaurant-and-bar-pleasanton,471.0
Pleasanton,King Wah,120.0,3.2,"['Dim Sum', 'Seafood', 'Cantonese']",/biz/king-wah-pleasanton,281.0
Pleasanton,Nick The Greek,130.0,3.8,['Greek'],/biz/nick-the-greek-dublin,249.0
Pleasanton,Elevation LVK,134.0,4.1,"['American (New)', 'Bars', 'Venues & Event Spaces']",/biz/elevation-lvk-livermore-2,236.0
Pleasanton,Dino’s Pizza Kitchen,184.0,4.8,"['Pizza', 'Desserts', 'Salad']",/biz/dinos-pizza-kitchen-livermore,99.0
Pleasanton,Annachi Kadai,179.0,3.2,['Indian'],/biz/annachi-kadai-pleasanton-2,105.0
Pleasanton,Teriyaki City Grill - Pleasanton,200.0,4.1,"['Fast Food', 'Teppanyaki']",/biz/teriyaki-city-grill-pleasanton-pleasanton,63.0
Portland,Elephants Delicatessen,35.0,4.3,"['Soup', 'American (Traditional)', 'Pizza']",/biz/elephants-delicatessen-portland,843.0
Portland,Serratto,37.0,4.0,"['Italian', 'Wine Bars', 'French']",/biz/serratto-portland,719.0
Portland,Nuestra Cocina,45.0,4.3,"['Mexican', 'Latin American']",/biz/nuestra-cocina-portland,622.0
Portland,Screen Door Eastside,1.0,4.4,"['Southern', 'Cajun/Creole', 'Breakfast & Brunch']",/biz/screen-door-eastside-portland-3,8400.0
