city,title,rank,point,link,review_n,rank_review
Bloomington,Freddys Frozen Custard & Steakburgers,206,2.4,/biz/freddys-frozen-custard-and-steakburgers-bloomington,32.0,158.0
Bloomington,Village Inn Family Restaurant,179,3.5,/biz/village-inn-family-restaurant-bloomington,2.0,217.0
Brighton,Frank Pepe Pizzeria Napoletana,224,3.3,/biz/frank-pepe-pizzeria-napoletana-chestnut-hill-chestnut-hill-2,452.0,36.0
Brighton,Giulia,143,4.4,/biz/giulia-cambridge,537.0,22.0
Brighton,Seasons 52,177,3.5,/biz/seasons-52-chestnut-hill-3,428.0,45.0
Brighton,The Abbey,26,4.2,/biz/the-abbey-brookline,528.0,23.0
Brighton,The Avenue,166,3.9,/biz/the-avenue-boston,428.0,44.0
Brighton,Mala Restaurant,237,3.8,/biz/mala-restaurant-boston,330.0,60.0
Brighton,Fins Sushi and Grill,184,3.8,/biz/fins-sushi-and-grill-brighton,315.0,63.0
Brighton,Lees Burger Place,209,4.3,/biz/lees-burger-place-newton-centre-2,362.0,54.0
Brighton,Brighton Cafe,41,4.0,/biz/brighton-cafe-brighton,225.0,91.0
Brighton,Isshindo Ramen,235,4.4,/biz/isshindo-ramen-allston,206.0,99.0
Brighton,Prairie Fire,178,4.1,/biz/prairie-fire-brookline,180.0,110.0
Brighton,Xiang Yu China Bistro,226,3.9,/biz/xiang-yu-china-bistro-brookline,136.0,133.0
Brighton,Flat Breads,223,3.8,/biz/flat-breads-chestnut-hill,67.0,173.0
Brighton,Parlour,153,4.2,/biz/parlour-brookline,70.0,171.0
Brighton,Beef and Turkey,131,1.0,/biz/beef-and-turkey-boston,1.0,239.0
Brookline,Jims Deli,234,4.5,/biz/jims-deli-brighton,719.0,31.0
Brookline,Buttermilk & Bourbon,181,4.0,/biz/buttermilk-and-bourbon-boston-2,1000.0,21.0
Brookline,Boston Sail Loft,212,4.3,/biz/boston-sail-loft-boston,1300.0,15.0
Brookline,Carmelinas,31,4.5,/biz/carmelinas-boston-2,3400.0,2.0
Brookline,Earls Kitchen + Bar,210,3.9,/biz/earls-kitchen-bar-boston-2,1400.0,12.0
Brookline,The Squealing Pig,233,3.7,/biz/the-squealing-pig-boston,434.0,63.0
Brookline,Oppa Sushi,166,4.3,/biz/oppa-sushi-boston-2,363.0,74.0
Brookline,The Mission Bar & Grill,194,3.7,/biz/the-mission-bar-and-grill-boston,377.0,71.0
Brookline,Burro Bar Brookline,24,3.8,/biz/burro-bar-brookline-brookline,282.0,87.0
Brookline,Moldova Restaurant,227,4.3,/biz/moldova-restaurant-newton,231.0,99.0
Brookline,Sultanas Bakery & Cafe,186,4.5,/biz/sultanas-bakery-and-cafe-brighton,106.0,143.0
Brookline,Hamilton Restaurant & Bar,204,3.3,/biz/hamilton-restaurant-and-bar-brookline,166.0,123.0
Brookline,Bon Me - Longwood Medical Area,236,3.4,/biz/bon-me-longwood-medical-area-boston-4,54.0,184.0
Brookline,Wicked Craft,179,3.8,/biz/wicked-craft-boston,86.0,161.0
Brookline,Maliss Thai Restaurant,158,4.1,/biz/maliss-thai-restaurant-brookline,8.0,225.0
Cincinnati,Nicholsons,212,3.9,/biz/nicholsons-cincinnati,509.0,24.0
Cincinnati,Hofbrauhaus Newport,144,3.8,/biz/hofbrauhaus-newport-newport-4,903.0,10.0
Cincinnati,Swampwater Grill,184,4.2,/biz/swampwater-grill-cincinnati-2,378.0,44.0
Cincinnati,Abigail Street,14,4.4,/biz/abigail-street-cincinnati,477.0,29.0
Cincinnati,Strongs Brick Oven Pizzeria,179,4.3,/biz/strongs-brick-oven-pizzeria-newport,448.0,33.0
Cincinnati,Tea n Bowl,221,4.0,/biz/tea-n-bowl-cincinnati,272.0,60.0
Cincinnati,Bouquet Restaurant,164,4.5,/biz/bouquet-restaurant-covington,345.0,49.0
Cincinnati,Lucius Q,187,4.0,/biz/lucius-q-cincinnati,330.0,51.0
Cincinnati,Tickle Pickle Northside,33,3.9,/biz/tickle-pickle-northside-cincinnati-2,308.0,57.0
Cincinnati,Nation Westwood,228,4.3,/biz/nation-westwood-cincinnati,136.0,98.0
Cincinnati,Bouchards,188,4.5,/biz/bouchards-cincinnati,78.0,134.0
Cincinnati,Enson Harbor,215,3.3,/biz/enson-harbor-bellevue,84.0,130.0
Cincinnati,Darou Salam,234,4.6,/biz/darou-salam-cincinnati-2,48.0,164.0
Cincinnati,Dunlap Cafe,160,4.3,/biz/dunlap-cafe-cincinnati,57.0,154.0
Cincinnati,Cousins Maine Lobster - Cincinnati,59,4.4,/biz/cousins-maine-lobster-cincinnati-cincinnati,5.0,225.0
Cleveland,Punch Bowl Social Cleveland,199,3.4,/biz/punch-bowl-social-cleveland-cleveland,567.0,19.0
Cleveland,Seoul Garden,101,4.4,/biz/seoul-garden-parma,402.0,35.0
Cleveland,Pizza 216,147,3.9,/biz/pizza-216-cleveland,357.0,44.0
Cleveland,LAlbatros,13,4.4,/biz/l-albatros-cleveland,887.0,7.0
Cleveland,Superior Pho,140,4.2,/biz/superior-pho-cleveland,758.0,10.0
Cleveland,Tandul,237,4.0,/biz/tandul-cleveland-3,241.0,76.0
Cleveland,Maxis,183,3.9,/biz/maxis-cleveland,246.0,75.0
Cleveland,Phusion Cafe,200,4.1,/biz/phusion-cafe-cleveland-2,201.0,88.0
Cleveland,Zhug,49,4.5,/biz/zhug-cleveland-heights,204.0,87.0
Cleveland,Mortons The Steakhouse,235,3.3,/biz/mortons-the-steakhouse-cleveland,170.0,102.0
Cleveland,Tacologist Tacos-Tequila-Margaritas,184,3.8,/biz/tacologist-tacos-tequila-margaritas-cleveland-3,163.0,106.0
Cleveland,Kenko,220,3.8,/biz/kenko-cleveland-5,172.0,100.0
Cleveland,Paradise Ranch Tequila Bar And Grill,219,4.2,/biz/paradise-ranch-tequila-bar-and-grill-valley-view,39.0,184.0
Cleveland,Whiskey Island Still & Eatery,175,3.1,/biz/whiskey-island-still-and-eatery-cleveland,41.0,181.0
Cleveland,Tripi,148,4.4,/biz/tripi-cleveland,7.0,224.0
